RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-291,2023,4.0,4M,14.0,Masculino,2022,1,Privada - Programa de Apadrinhamento,Privada/Bolsa,Topázio,8.493058333,10.0,7.1,8.6,8.8,7.52,8.90625,9.21,8.0,6.5,6.7,4.0,0,Em fase,0,,4.0,False,0,2,10.0,7.9319666667333335,6.166666666666667,9.737666667,Ametista,7.0,0,0,0,1.0
RA-306,2023,4.0,4M,15.0,Feminino,2021,2,Pública,Pública,Quartzo,5.732375,5.0,4.0,7.9,,6.26,7.34375,7.46,4.7,4.5,2.8,5.0,-1,Moderada,1,,4.0,False,1,-1,5.0,6.1661539474,2.8333333333333335,7.699561403666666,Ágata,5.0,1,0,1,0.0
RA-279,2023,4.0,4M,14.0,Masculino,2019,4,Pública,Pública,Topázio,9.006266667,10.0,8.9,10.0,8.8,6.27,8.75,9.2125,9.0,8.5,9.3,4.0,0,Em fase,0,,4.0,False,0,1,10.0,9.113133333366667,9.333333333333334,10.0,Topázio,5.0,0,0,0,0.0
RA-280,2023,4.0,4M,14.0,Feminino,2021,2,Privada - Programa de Apadrinhamento,Privada/Bolsa,Topázio,8.189225,10.0,6.5,9.5,6.7,7.52,8.28125,8.7125,6.3,7.7,5.5,4.0,0,Em fase,0,,4.0,False,0,1,10.0,8.822714492700001,9.333333333333334,9.855072463666666,Topázio,5.0,0,0,0,0.0
RA-319,2023,4.0,4N,14.0,Masculino,2022,1,Concluiu o 3º EM,Outros/Concluiu EM,Topázio,8.367208333,10.0,7.2,9.2,9.6,5.0,8.59375,8.88,5.7,5.8,10.0,4.0,0,Em fase,0,,4.0,False,0,0,10.0,7.948699561466667,5.833333333333333,9.024122807,Ametista,5.0,0,0,0,1.0
RA-321,2023,4.0,4N,13.0,Feminino,2022,1,Pública,Pública,Ametista,7.695233333,10.0,6.2,9.4,8.3,2.52,8.125,8.42,6.0,5.8,6.7,3.0,1,Em fase,0,,4.0,False,0,1,10.0,8.125807932933334,7.166666666666667,9.534706331,Topázio,5.0,0,0,0,0.0
RA-1195,2023,4.0,4N,17.0,Feminino,2022,1,Pública,Pública,Quartzo,5.677291667,2.5,5.4,8.3,,2.52,8.28125,8.0025,4.3,4.7,7.3,7.0,-3,Severa,1,,4.0,False,1,-2,5.0,7.5085144926666665,6.166666666666667,9.855072463666666,Ametista,5.0,1,0,1,0.0
RA-251,2023,4.0,4N,15.0,Masculino,2018,5,Pública,Pública,Ágata,6.665208333,5.0,5.3,8.0,9.6,2.52,7.34375,7.835,5.0,5.5,5.3,5.0,-1,Moderada,1,,4.0,False,0,-1,5.0,6.7135006212,4.5,8.612836439,Ágata,5.0,1,0,1,0.0
RA-116,2023,5.0,5A,17.0,Feminino,2019,4,Pública,Pública,Ágata,6.433075,5.0,4.7,7.6,6.7,5.0,7.96875,7.5475,2.3,5.0,6.8,7.0,-2,Moderada,1,,4.0,False,0,-2,5.0,6.337470707133334,4.5,7.535353535666666,Ágata,5.0,1,0,1,1.0
RA-103,2023,5.0,5A,14.0,Feminino,2020,3,Privada - Programa de Apadrinhamento,Privada/Bolsa,Topázio,8.0239,10.0,7.1,9.2,8.3,5.0,8.125,8.09,7.3,6.3,7.7,4.0,1,Em fase,0,,4.0,False,0,0,10.0,8.775268254,9.166666666666666,9.603174603333335,Topázio,5.0,0,1,1,0.0
