RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO
RA-95,2022,5.0,L,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.308,5.0,4.8,6.6,8.3,7.5,,6.292,6.0,8.0,0.5,7.0,-2,Moderada,1,0.0,4.0,False,0
RA-96,2022,5.0,L,16.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.54,5.0,6.7,7.8,9.2,6.9,,8.5,5.7,6.5,8.0,6.0,-1,Moderada,1,1.0,4.0,False,0
RA-97,2022,5.0,L,15.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,7.468,10.0,6.9,8.8,7.5,5.0,,6.292,5.3,6.7,8.8,5.0,0,Em fase,0,0.0,4.0,False,0
RA-98,2022,5.0,L,15.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Topázio,9.354,10.0,8.5,10.0,8.8,9.4,,9.667,8.4,8.2,8.9,5.0,0,Em fase,0,1.0,4.0,False,0
RA-99,2022,5.0,L,16.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.158,5.0,5.0,6.3,8.8,7.5,,5.833,5.7,3.4,5.8,6.0,-1,Moderada,1,0.0,4.0,False,0
RA-100,2022,4.0,A,13.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.618,10.0,7.6,7.8,8.8,5.0,,7.25,7.0,7.8,8.1,3.0,1,Em fase,0,0.0,4.0,False,0
RA-101,2022,4.0,A,15.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.305,5.0,7.6,8.3,7.9,7.5,,6.833,7.2,6.5,9.2,5.0,-1,Moderada,1,0.0,4.0,False,0
RA-102,2022,4.0,A,14.0,Masculino,2019,3,Escola Pública,Pública,Ágata,6.922,10.0,5.7,7.7,6.7,6.9,,6.0,4.7,6.8,5.5,4.0,0,Em fase,0,0.0,4.0,False,0
RA-103,2022,4.0,A,13.0,Feminino,2020,2,Rede Decisão,Privada/Bolsa,Topázio,8.107,10.0,7.3,8.7,7.9,7.5,,7.708,7.3,7.3,7.3,3.0,1,Em fase,0,0.0,4.0,False,0
RA-104,2022,4.0,A,18.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.315,2.5,3.7,8.7,7.9,7.5,,6.708,4.8,5.8,0.3,8.0,-4,Severa,1,0.0,4.0,False,0
RA-105,2022,4.0,A,17.0,Masculino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.846,2.5,6.7,8.2,7.9,5.6,,7.417,7.2,6.2,6.8,7.0,-3,Severa,1,0.0,4.0,False,0
RA-106,2022,4.0,A,15.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.973,5.0,7.4,8.0,9.2,9.4,,8.375,7.8,7.2,7.2,5.0,-1,Moderada,1,1.0,4.0,False,0
RA-107,2022,4.0,A,15.0,Feminino,2018,4,Escola Pública,Pública,Ágata,6.258,5.0,4.6,6.4,7.5,7.5,,6.5,3.3,4.3,6.0,5.0,-1,Moderada,1,0.0,4.0,False,0
RA-108,2022,4.0,A,17.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,5.547,2.5,5.0,7.7,4.6,5.0,,6.125,3.0,5.8,6.2,7.0,-3,Severa,1,0.0,4.0,False,0
RA-109,2022,4.0,A,16.0,Masculino,2021,1,Rede Decisão,Privada/Bolsa,Topázio,8.512,5.0,8.4,10.0,8.8,8.8,,8.667,7.8,7.5,9.9,6.0,-2,Moderada,1,1.0,4.0,False,0
RA-110,2022,4.0,A,14.0,Masculino,2017,5,Rede Decisão,Privada/Bolsa,Topázio,8.15,10.0,6.7,9.7,9.2,5.6,,8.0,8.3,5.7,6.0,4.0,0,Em fase,0,0.0,4.0,False,0
RA-111,2022,4.0,A,13.0,Feminino,2020,2,Rede Decisão,Privada/Bolsa,Topázio,8.646,10.0,8.0,9.4,7.5,8.1,,8.667,6.7,7.5,9.7,3.0,1,Em fase,0,1.0,4.0,False,0
RA-112,2022,4.0,A,15.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.836,5.0,8.5,7.8,7.9,6.3,,8.833,9.0,7.5,9.1,5.0,-1,Moderada,1,1.0,4.0,False,0
RA-113,2022,4.0,A,15.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Quartzo,3.032,5.0,3.7,0.0,,5.0,,3.792,3.3,5.5,2.3,5.0,-1,Moderada,1,0.0,4.0,False,1
RA-114,2022,4.0,A,16.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,5.894,5.0,5.3,6.3,7.9,7.5,,5.0,6.0,4.5,,6.0,-2,Moderada,1,0.0,4.0,False,0
RA-115,2022,4.0,A,16.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,5.886,5.0,3.8,6.8,8.3,6.3,,5.583,3.0,5.7,2.7,6.0,-2,Moderada,1,0.0,4.0,False,0
RA-116,2022,4.0,B,16.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.854,5.0,5.9,8.1,5.8,6.3,,7.792,5.0,7.2,5.5,6.0,-2,Moderada,1,0.0,4.0,False,0
